TransCode	TransDate	Detail
SLIP	16/08/2023 	Stip / Transfer
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1310		301 - JAO QATIF STORE 	 0 	 103.38 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 12.59 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 88.92 	 0 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 6.76 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 17.48 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 18.11 	 0 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 79.47 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 5.98 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 30.88 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 5.89 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 5.85 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 70.83 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 6.07 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 5.13 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 88.92 	 0 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 4450.74 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 800.32 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 998.01 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 530.88 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 194.45 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 445.79 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 12.66 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 6.92 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 252.23 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 29.43 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 32.08 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 5.31 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 5.26 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 42.31 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 2.92 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 56.61 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 49.09 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 20.88 	 0 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 18.6 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 23.79 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 6.06 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 12.57 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 69.64 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 1452.37 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 49.09 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 20.88 	 0 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 5.98 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 24.86 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 5.91 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 12.59 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 5.99 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 244.84 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 6.02 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 178.87 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 10 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 11.74 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 9.1 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 20.26 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 12.58 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 19 	 0 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 304.82 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 87.35 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 6.06 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 35.03 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 7.06 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 7.06 	 0 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 6.28 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 11.87 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 174.69 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 3.12 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 3.08 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 186.84 	Stip / Transfer	
1310		301 - JAO QATIF STORE 	 0 	 1088.16 	Stip / Transfer	
